COSMETIC_REPORT_SEQ,ITEM_NAME,ENTP_NAME,report_date
2013018300,동인비퍼펙트선크림,(주)케이지씨라이프앤진,2013-04-19 00:00:00
2013018356,페어리스메이크업시너지선크림,(주)카버코리아,2013-04-22 00:00:00
2013018407,비앤에프액티브이스트유브이디펜스선크림,애경산업(주),2013-04-23 00:00:00
2013018418,퓨어가닉에코마일드선크림,메디앙스(주),2013-05-06 00:00:00
2013018889,베이비모멘트선크림에스피에프36피에이투플러스,트러스메틱스주식회사,2013-05-07 00:00:00
2013018977,케어존에이알에이치더마리페어선크림,(주)엘지생활건강,2013-05-08 00:00:00
2013019428,네이처리퍼블릭트리플이엑스선크림,(주)네이처리퍼블릭,2013-05-22 00:00:00
2013019627,시크릿키하이래스팅선크림에스피에프50+피에이+++,(주)시크릿키,2013-05-23 00:00:00
2013019851,리리코스옴므마린에너지선크림,(주)아모레퍼시픽,2013-05-30 00:00:00
2013020352,하이맘선크림,제이더블유중외제약(주),2013-06-14 00:00:00
2013020390,울트라유브이퍼펙트선크림에스피에프40피에이++,엘디아,2013-06-17 00:00:00
2013020428,디티알티선크림셀프디펜스,해브앤비(유),2013-06-18 00:00:00
2013020515,루크릿내추럴에이치지선크림,웰스랜드,2013-06-20 00:00:00
2013020516,루크릿내추럴에이치지선크림,웰스랜드,2013-06-20 00:00:00
2013020558,분스수퍼아쿠아선크림에스피에프50+피에이+++,(주)이마트,2013-06-21 00:00:00
2013020694,이지함유브이퍼팩트선크림에스피에프50+피에이+++,(주)이지함화장품,2013-06-26 00:00:00
2013020911,던롭액티브프러텍션선크림에스피에프50+피에이+++,디씨케이,2013-07-02 00:00:00
2013021011,울트라멀티액션선크림,(주)에바스코스메틱,2013-07-03 00:00:00
2013021311,에코시아알로에베라마일드선크림,(주)제이어스,2013-07-10 00:00:00
2013021439,다나한수선크림에스피에프40피에이투플러스,(주)코스모코스,2013-07-15 00:00:00
2013021618,테라피아유브이화이트아쿠아선크림,(주)에치엔지,2013-07-19 00:00:00
2013022070,미소지음퍼펙트선크림,(주)피코바이오,2013-08-02 00:00:00
2013022182,엘퓨어멀티퍼펙션내츄럴데일리선크림,(주)미도화장품,2013-08-07 00:00:00
2013022432,리바이탈프로폴리스앱솔루트슈프림선크림,(주)뷰티솔루션,2013-08-19 00:00:00
2013022614,한비슬선크림,옥시젠디벨롭먼트(주),2013-08-22 00:00:00
2013022752,더연제주감귤한라봉에너지올데이선크림,(주)더연,2013-08-27 00:00:00
2013023002,에피힐포스트레이저선크림,오라클코스메틱(주),2013-09-03 00:00:00
2013023027,로라로세선크림,(주)비엔코스,2013-09-03 00:00:00
2013024329,벨리시모선크림,지디케이화장품(주),2013-10-08 00:00:00
2013024442,한가닉퍼펙트선크림,(주)현대이노베이션,2013-10-14 00:00:00
2013024448,자이모겐롱래스팅파워선크림,(주)콧데,2013-10-16 00:00:00
